nom;taille;temps;comparaison;echange;couleur
Tri a bulle;10;1.5600002370774746e-05;44;20;#EECC66
Tri a bulle;10;1.4899997040629387e-05;44;35;#EECC66
Tri a bulle;10;1.290004001930356e-05;35;17;#EECC66
Tri a bulle;10;1.8300022929906845e-05;45;37;#EECC66
Tri a bulle;10;7.599999662488699e-06;44;20;#EECC66
Tri a bulle;10;1.1500029359012842e-05;45;18;#EECC66
Tri a bulle;10;1.279998105019331e-05;44;35;#EECC66
Tri a bulle;10;1.1399970389902592e-05;45;19;#EECC66
Tri a bulle;10;1.2200034689158201e-05;44;23;#EECC66
Tri a bulle;10;1.6899954061955214e-05;45;28;#EECC66
Tri a bulle;10;1.8400023691356182e-05;42;15;#EECC66
Tri a bulle;10;1.610000617802143e-05;44;25;#EECC66
Tri a bulle;10;1.479999627918005e-05;45;16;#EECC66
Tri a bulle;10;1.5400000847876072e-05;42;20;#EECC66
Tri a bulle;10;1.550000160932541e-05;45;19;#EECC66
Tri a bulle;10;1.5099998563528061e-05;45;19;#EECC66
Tri a bulle;10;1.4699995517730713e-05;44;22;#EECC66
Tri a bulle;10;1.4899997040629387e-05;45;17;#EECC66
Tri a bulle;10;1.069999416358769e-05;39;16;#EECC66
Tri a bulle;10;3.279998782090843e-05;42;20;#EECC66
Tri a bulle;11;8.100003469735384e-06;54;35;#EECC66
Tri a bulle;11;7.199996616691351e-06;54;24;#EECC66
Tri a bulle;11;6.999995093792677e-06;52;28;#EECC66
Tri a bulle;11;7.90000194683671e-06;45;19;#EECC66
Tri a bulle;11;9.200011845678091e-06;52;26;#EECC66
Tri a bulle;12;8.000002708286047e-06;66;33;#EECC66
Tri a bulle;12;6.699992809444666e-06;63;23;#EECC66
Tri a bulle;12;8.000002708286047e-06;66;38;#EECC66
Tri a bulle;12;6.89999433234334e-06;56;23;#EECC66
Tri a bulle;12;9.000010322779417e-06;65;41;#EECC66
Tri a bulle;13;9.200011845678091e-06;75;41;#EECC66
Tri a bulle;13;7.800001185387373e-06;72;33;#EECC66
Tri a bulle;13;7.399998139590025e-06;72;31;#EECC66
Tri a bulle;13;7.90000194683671e-06;72;33;#EECC66
Tri a bulle;13;8.100003469735384e-06;68;39;#EECC66
Tri a bulle;14;8.400005754083395e-06;76;32;#EECC66
Tri a bulle;14;1.0200019460171461e-05;91;46;#EECC66
Tri a bulle;14;9.400013368576765e-06;88;52;#EECC66
Tri a bulle;14;9.299983503296971e-06;85;43;#EECC66
Tri a bulle;14;9.399984264746308e-06;85;43;#EECC66
Tri a bulle;15;1.71000137925148e-05;102;55;#EECC66
Tri a bulle;15;1.0000017937272787e-05;95;46;#EECC66
Tri a bulle;15;1.209997572004795e-05;105;66;#EECC66
Tri a bulle;15;1.1199997970834374e-05;99;42;#EECC66
Tri a bulle;15;1.1299998732283711e-05;102;50;#EECC66
Tri a bulle;16;1.0499963536858559e-05;99;52;#EECC66
Tri a bulle;16;1.090002479031682e-05;117;41;#EECC66
Tri a bulle;16;1.0800024028867483e-05;110;51;#EECC66
Tri a bulle;16;1.1500000255182385e-05;117;48;#EECC66
Tri a bulle;16;7.700000423938036e-06;75;34;#EECC66
Tri a bulle;17;1.4099990949034691e-05;133;72;#EECC66
Tri a bulle;17;1.4800054486840963e-05;133;85;#EECC66
Tri a bulle;17;1.2899981811642647e-05;133;56;#EECC66
Tri a bulle;17;1.7699989257380366e-05;130;74;#EECC66
Tri a bulle;17;1.2999982573091984e-05;126;53;#EECC66
Tri a bulle;18;1.580000389367342e-05;147;81;#EECC66
Tri a bulle;18;1.7300015315413475e-05;153;94;#EECC66
Tri a bulle;18;1.4099990949034691e-05;150;58;#EECC66
Tri a bulle;18;1.7799990018829703e-05;147;85;#EECC66
Tri a bulle;18;1.580000389367342e-05;152;72;#EECC66
Tri a bulle;19;1.7000013031065464e-05;161;81;#EECC66
Tri a bulle;19;1.6700010746717453e-05;165;82;#EECC66
Tri a bulle;19;1.850002445280552e-05;168;108;#EECC66
Tri a bulle;19;1.5199999324977398e-05;161;65;#EECC66
Tri a bulle;19;1.9400002202019095e-05;171;98;#EECC66
Tri a bulle;20;1.8199963960796595e-05;180;87;#EECC66
Tri a bulle;20;1.9899976905435324e-05;190;102;#EECC66
Tri a bulle;20;3.160000778734684e-05;190;109;#EECC66
Tri a bulle;20;2.8499984182417393e-05;180;93;#EECC66
Tri a bulle;20;1.2499978765845299e-05;184;80;#EECC66
Tri a bulle;20;2.0099978428333998e-05;187;79;#EECC66
Tri a bulle;20;2.6600027922540903e-05;169;93;#EECC66
Tri a bulle;20;2.400000812485814e-05;187;81;#EECC66
Tri a bulle;20;3.270001616328955e-05;189;104;#EECC66
Tri a bulle;20;3.50000336766243e-05;190;120;#EECC66
Tri a bulle;20;3.609998384490609e-05;180;85;#EECC66
