nom;taille;temps;comparaison;echange;couleur
Tri a peigne;10;1.3499986380338669e-05;41;12;#21918C
Tri a peigne;10;4.360004095360637e-05;41;11;#21918C
Tri a peigne;10;1.9199971575289965e-05;50;13;#21918C
Tri a peigne;10;2.340000355616212e-05;41;11;#21918C
Tri a peigne;10;9.100011084228754e-06;41;10;#21918C
Tri a peigne;10;1.6400008462369442e-05;41;8;#21918C
Tri a peigne;10;1.580000389367342e-05;41;9;#21918C
Tri a peigne;10;1.3400043826550245e-05;50;12;#21918C
Tri a peigne;10;2.2199994418770075e-05;41;7;#21918C
Tri a peigne;10;1.3699987903237343e-05;41;9;#21918C
Tri a peigne;10;2.2299995180219412e-05;41;11;#21918C
Tri a peigne;10;1.3299984857439995e-05;41;12;#21918C
Tri a peigne;10;9.000010322779417e-06;41;9;#21918C
Tri a peigne;10;2.4699955247342587e-05;41;8;#21918C
Tri a peigne;10;1.680001150816679e-05;41;14;#21918C
Tri a peigne;10;2.8799986466765404e-05;50;16;#21918C
Tri a peigne;10;1.4599994756281376e-05;41;9;#21918C
Tri a peigne;10;1.6700010746717453e-05;41;12;#21918C
Tri a peigne;11;1.1000025551766157e-05;52;15;#21918C
Tri a peigne;12;1.0600022505968809e-05;58;12;#21918C
Tri a peigne;13;1.0499963536858559e-05;62;12;#21918C
Tri a peigne;14;8.700008038431406e-06;69;20;#21918C
Tri a peigne;15;9.600014891475439e-06;84;18;#21918C
Tri a peigne;16;1.0599964298307896e-05;90;22;#21918C
Tri a peigne;17;1.0699965059757233e-05;94;23;#21918C
Tri a peigne;18;1.2999982573091984e-05;119;28;#21918C
Tri a peigne;19;1.1700030881911516e-05;109;22;#21918C
Tri a peigne;20;1.5300000086426735e-05;129;28;#21918C
Tri a peigne;20;3.2100011594593525e-05;129;27;#21918C
Tri a peigne;20;2.039998071268201e-05;129;27;#21918C
Tri a peigne;20;1.0400020983070135e-05;129;26;#21918C
Tri a peigne;20;3.649998689070344e-05;129;27;#21918C
Tri a peigne;20;1.5199999324977398e-05;129;35;#21918C
Tri a peigne;20;1.7700018361210823e-05;129;33;#21918C
Tri a peigne;20;3.390002530068159e-05;129;33;#21918C
Tri a peigne;20;1.7600017599761486e-05;129;25;#21918C
Tri a peigne;20;3.430002834647894e-05;129;26;#21918C
Tri a peigne;20;1.3200042303651571e-05;129;31;#21918C
Tri a peigne;20;4.050001734867692e-05;129;36;#21918C
Tri a peigne;20;2.440001117065549e-05;129;29;#21918C
Tri a peigne;20;3.2400013878941536e-05;129;27;#21918C
Tri a peigne;20;1.9300030544400215e-05;129;31;#21918C
Tri a peigne;20;1.829996472224593e-05;129;25;#21918C
Tri a peigne;21;1.5300000086426735e-05;135;35;#21918C
Tri a peigne;22;1.5300000086426735e-05;144;33;#21918C
Tri a peigne;23;1.580000389367342e-05;148;38;#21918C
Tri a peigne;24;1.6400008462369442e-05;156;37;#21918C
Tri a peigne;25;1.729995710775256e-05;163;36;#21918C
Tri a peigne;26;1.9700033590197563e-05;189;41;#21918C
Tri a peigne;27;1.98000343516469e-05;199;34;#21918C
Tri a peigne;28;2.099998528137803e-05;205;44;#21918C
Tri a peigne;29;2.1899992134422064e-05;214;48;#21918C
Tri a peigne;30;2.3900007363408804e-05;218;44;#21918C
Tri a peigne;30;5.310005508363247e-05;218;45;#21918C
Tri a peigne;30;4.269997589290142e-05;247;50;#21918C
Tri a peigne;30;1.5600002370774746e-05;218;47;#21918C
Tri a peigne;30;6.290001329034567e-05;247;49;#21918C
Tri a peigne;30;2.5099958293139935e-05;247;51;#21918C
Tri a peigne;30;2.9099988751113415e-05;247;49;#21918C
Tri a peigne;30;5.0399976316839457e-05;218;52;#21918C
Tri a peigne;30;2.7799978852272034e-05;218;59;#21918C
Tri a peigne;30;3.0199997127056122e-05;247;49;#21918C
Tri a peigne;30;1.850002445280552e-05;247;48;#21918C
Tri a peigne;30;6.719998782500625e-05;218;58;#21918C
Tri a peigne;30;4.1000021155923605e-05;247;61;#21918C
Tri a peigne;30;5.7999975979328156e-05;247;58;#21918C
Tri a peigne;30;2.4800014216452837e-05;218;38;#21918C
Tri a peigne;30;2.4100008886307478e-05;218;42;#21918C
Tri a peigne;31;2.6200024876743555e-05;258;53;#21918C
Tri a peigne;32;2.6800029445439577e-05;267;52;#21918C
Tri a peigne;33;2.4399952962994576e-05;243;52;#21918C
Tri a peigne;34;2.7800037059932947e-05;277;58;#21918C
Tri a peigne;35;2.929999027401209e-05;288;62;#21918C
Tri a peigne;36;3.130000550299883e-05;298;73;#21918C
Tri a peigne;37;3.5299977753311396e-05;340;77;#21918C
Tri a peigne;38;3.880000440403819e-05;387;74;#21918C
Tri a peigne;39;3.6699988413602114e-05;355;85;#21918C
Tri a peigne;40;3.6999990697950125e-05;328;86;#21918C
Tri a peigne;40;9.430001955479383e-05;367;80;#21918C
Tri a peigne;40;7.90000194683671e-05;406;83;#21918C
Tri a peigne;40;2.5800021830946207e-05;367;72;#21918C
Tri a peigne;40;5.199998850002885e-05;328;73;#21918C
Tri a peigne;40;4.179996903985739e-05;406;89;#21918C
Tri a peigne;40;4.469999112188816e-05;406;92;#21918C
Tri a peigne;40;6.910000229254365e-05;328;68;#21918C
Tri a peigne;40;4.729995271191001e-05;328;82;#21918C
Tri a peigne;40;4.150002496317029e-05;367;78;#21918C
Tri a peigne;40;2.9999995604157448e-05;367;82;#21918C
Tri a peigne;40;8.730002446100116e-05;328;69;#21918C
Tri a peigne;40;6.120000034570694e-05;328;67;#21918C
Tri a peigne;40;6.529997335746884e-05;328;69;#21918C
Tri a peigne;40;4.279997665435076e-05;367;82;#21918C
Tri a peigne;40;4.110002191737294e-05;367;67;#21918C
Tri a peigne;41;3.850000211969018e-05;378;76;#21918C
Tri a peigne;42;3.8300000596791506e-05;387;72;#21918C
Tri a peigne;43;3.940000897273421e-05;395;79;#21918C
Tri a peigne;44;4.1700026486068964e-05;407;89;#21918C
Tri a peigne;45;4.240003181621432e-05;409;97;#21918C
Tri a peigne;46;6.770004983991385e-05;420;84;#21918C
Tri a peigne;47;4.610000178217888e-05;430;93;#21918C
Tri a peigne;48;4.5900000259280205e-05;442;82;#21918C
Tri a peigne;49;4.600000102072954e-05;448;102;#21918C
Tri a peigne;50;5.0399976316839457e-05;457;99;#21918C
Tri a peigne;50;0.0001284000463783741;506;111;#21918C
Tri a peigne;50;8.890003664419055e-05;457;98;#21918C
Tri a peigne;50;3.190001007169485e-05;457;98;#21918C
Tri a peigne;50;0.00010880001354962587;457;102;#21918C
Tri a peigne;50;4.650000482797623e-05;457;101;#21918C
Tri a peigne;50;4.700000863522291e-05;457;88;#21918C
Tri a peigne;50;0.00010050000855699182;457;89;#21918C
Tri a peigne;50;5.15999854542315e-05;457;101;#21918C
Tri a peigne;50;6.089999806135893e-05;457;117;#21918C
Tri a peigne;50;3.550003748387098e-05;457;111;#21918C
Tri a peigne;50;0.00012959999730810523;457;86;#21918C
Tri a peigne;50;7.259997073560953e-05;457;109;#21918C
Tri a peigne;50;7.839995669201016e-05;506;104;#21918C
Tri a peigne;50;5.259999306872487e-05;457;105;#21918C
Tri a peigne;50;5.150004290044308e-05;457;103;#21918C
Tri a peigne;51;5.269999383017421e-05;511;120;#21918C
Tri a peigne;52;8.060003165155649e-05;523;105;#21918C
Tri a peigne;53;5.299999611452222e-05;484;96;#21918C
Tri a peigne;54;5.819997750222683e-05;547;110;#21918C
Tri a peigne;55;0.00010840001050382853;556;152;#21918C
Tri a peigne;56;6.700004450976849e-05;619;122;#21918C
Tri a peigne;57;6.160000339150429e-05;577;128;#21918C
Tri a peigne;58;6.260001100599766e-05;589;129;#21918C
Tri a peigne;59;6.210000719875097e-05;591;116;#21918C
Tri a peigne;60;7.489998824894428e-05;602;125;#21918C
Tri a peigne;60;0.0001588000450283289;602;131;#21918C
Tri a peigne;60;0.0002843000111170113;602;141;#21918C
Tri a peigne;60;4.730001091957092e-05;661;135;#21918C
Tri a peigne;60;0.00012069998774677515;602;134;#21918C
Tri a peigne;60;6.260001100599766e-05;602;133;#21918C
Tri a peigne;60;6.48999703116715e-05;602;132;#21918C
Tri a peigne;60;0.00013299996498972178;602;120;#21918C
