nom;taille;temps;comparaison;echange;couleur
Tri cocktail;10;1.4499993994832039e-05;39;20;#6699CC
Tri cocktail;10;1.4899997040629387e-05;45;35;#6699CC
Tri cocktail;10;1.479999627918005e-05;35;17;#6699CC
Tri cocktail;10;1.2400036212056875e-05;39;20;#6699CC
Tri cocktail;10;1.2599979527294636e-05;39;16;#6699CC
Tri cocktail;10;2.4900014977902174e-05;44;37;#6699CC
Tri cocktail;10;8.499948307871819e-06;39;20;#6699CC
Tri cocktail;10;2.0099978428333998e-05;44;29;#6699CC
Tri cocktail;10;1.309998333454132e-05;39;23;#6699CC
Tri cocktail;10;1.1999974958598614e-05;35;18;#6699CC
Tri cocktail;10;1.4199991710484028e-05;45;35;#6699CC
Tri cocktail;10;1.279998105019331e-05;39;23;#6699CC
Tri cocktail;10;1.8799968529492617e-05;35;15;#6699CC
Tri cocktail;10;2.400000812485814e-05;44;25;#6699CC
Tri cocktail;10;2.239999594166875e-05;42;25;#6699CC
Tri cocktail;10;1.5099998563528061e-05;39;20;#6699CC
Tri cocktail;10;2.3900007363408804e-05;45;30;#6699CC
Tri cocktail;10;2.1899992134422064e-05;39;19;#6699CC
Tri cocktail;10;1.5400000847876072e-05;35;19;#6699CC
Tri cocktail;10;1.5600002370774746e-05;35;22;#6699CC
Tri cocktail;10;2.710000262595713e-05;39;22;#6699CC
Tri cocktail;10;1.8099992303177714e-05;44;29;#6699CC
Tri cocktail;10;1.479999627918005e-05;35;17;#6699CC
Tri cocktail;10;1.1800002539530396e-05;30;16;#6699CC
Tri cocktail;10;1.4100020052865148e-05;42;20;#6699CC
Tri cocktail;10;1.3199998647905886e-05;45;32;#6699CC
Tri cocktail;10;1.32000059238635e-05;44;32;#6699CC
Tri cocktail;10;1.170000177808106e-05;35;18;#6699CC
Tri cocktail;10;1.2600001355167478e-05;39;31;#6699CC
Tri cocktail;10;1.4400000509340316e-05;44;34;#6699CC
Tri cocktail;10;1.290000363951549e-05;42;27;#6699CC
Tri cocktail;10;1.3500000932253897e-05;44;30;#6699CC
Tri cocktail;10;1.1099997209385037e-05;35;16;#6699CC
Tri cocktail;10;1.309998333454132e-05;42;32;#6699CC
Tri cocktail;10;1.8400023691356182e-05;35;17;#6699CC
Tri cocktail;10;1.260003773495555e-05;42;22;#6699CC
Tri cocktail;10;1.179997343569994e-05;39;20;#6699CC
Tri cocktail;10;1.2499978765845299e-05;39;25;#6699CC
Tri cocktail;10;1.2399978004395962e-05;39;18;#6699CC
Tri cocktail;10;1.2400007108226418e-05;35;14;#6699CC
Tri cocktail;10;1.2199991033412516e-05;35;16;#6699CC
Tri cocktail;10;2.1900006686337292e-05;44;34;#6699CC
Tri cocktail;10;1.340000017080456e-05;42;23;#6699CC
Tri cocktail;10;2.1599989850074053e-05;39;18;#6699CC
Tri cocktail;10;1.2199991033412516e-05;39;20;#6699CC
Tri cocktail;11;8.000002708286047e-06;54;35;#6699CC
Tri cocktail;11;6.099988240748644e-06;40;24;#6699CC
Tri cocktail;11;8.100003469735384e-06;52;28;#6699CC
Tri cocktail;11;8.200004231184721e-06;45;19;#6699CC
