nom;taille;temps;comparaison;echange;couleur
Tri fusion;10;3.0499999411404133e-05;22;34;#004488
Tri fusion;10;2.0900042727589607e-05;21;34;#004488
Tri fusion;10;2.4099950678646564e-05;22;34;#004488
Tri fusion;10;2.3800006601959467e-05;21;34;#004488
Tri fusion;10;2.0199979189783335e-05;24;34;#004488
Tri fusion;10;1.899997005239129e-05;20;34;#004488
Tri fusion;10;2.8900045435875654e-05;23;34;#004488
Tri fusion;10;3.9000005926936865e-05;23;34;#004488
Tri fusion;10;3.620004281401634e-05;20;34;#004488
Tri fusion;10;3.5999983083456755e-05;22;34;#004488
Tri fusion;10;5.029997555539012e-05;22;34;#004488
Tri fusion;10;2.5600020308047533e-05;25;34;#004488
Tri fusion;10;2.1599989850074053e-05;22;34;#004488
Tri fusion;10;1.999997766688466e-05;24;34;#004488
Tri fusion;10;1.9799976143985987e-05;19;34;#004488
Tri fusion;10;2.2899999748915434e-05;23;34;#004488
Tri fusion;10;3.3299962524324656e-05;23;34;#004488
Tri fusion;10;1.9000028260052204e-05;21;34;#004488
Tri fusion;10;1.3899989426136017e-05;20;34;#004488
Tri fusion;10;3.070000093430281e-05;21;34;#004488
Tri fusion;10;2.2799998987466097e-05;24;34;#004488
Tri fusion;10;3.370002377778292e-05;22;34;#004488
Tri fusion;10;2.050003968179226e-05;24;34;#004488
Tri fusion;10;2.0599982235580683e-05;24;34;#004488
Tri fusion;10;3.850000211969018e-05;24;34;#004488
Tri fusion;10;1.97000008483883e-05;22;34;#004488
Tri fusion;10;2.5800021830946207e-05;22;34;#004488
Tri fusion;10;3.6999990697950125e-05;24;34;#004488
Tri fusion;10;2.5199988158419728e-05;18;34;#004488
Tri fusion;10;5.639999289996922e-05;25;34;#004488
Tri fusion;10;2.5599991204217076e-05;23;34;#004488
Tri fusion;10;2.4300010409206152e-05;24;34;#004488
Tri fusion;10;2.5399989681318402e-05;24;34;#004488
Tri fusion;10;2.5399989681318402e-05;22;34;#004488
Tri fusion;10;5.709999823011458e-05;24;34;#004488
Tri fusion;10;2.5999994250014424e-05;25;34;#004488
Tri fusion;10;2.5699991965666413e-05;23;34;#004488
Tri fusion;10;3.579998156055808e-05;24;34;#004488
Tri fusion;10;2.5199988158419728e-05;24;34;#004488
Tri fusion;10;3.239998477511108e-05;25;34;#004488
Tri fusion;10;2.1500018192455173e-05;22;34;#004488
Tri fusion;10;1.9499973859637976e-05;22;34;#004488
Tri fusion;10;2.3300002794712782e-05;23;34;#004488
Tri fusion;10;1.8699996871873736e-05;22;34;#004488
Tri fusion;10;1.920000067912042e-05;24;34;#004488
Tri fusion;10;1.960000372491777e-05;25;34;#004488
Tri fusion;10;3.609999839682132e-05;21;34;#004488
Tri fusion;10;2.0200001017656177e-05;24;34;#004488
Tri fusion;10;1.9899998733308166e-05;20;34;#004488
Tri fusion;10;2.0200001017656177e-05;22;34;#004488
Tri fusion;10;1.9599996448960155e-05;23;34;#004488
Tri fusion;10;2.3699998564552516e-05;22;34;#004488
Tri fusion;11;1.7200014553964138e-05;25;39;#004488
Tri fusion;11;1.1199968867003918e-05;27;39;#004488
Tri fusion;11;1.0599964298307896e-05;28;39;#004488
Tri fusion;11;1.4299992471933365e-05;27;39;#004488
Tri fusion;11;2.8999987989664078e-05;28;39;#004488
Tri fusion;11;1.6000005416572094e-05;29;39;#004488
Tri fusion;12;1.7700018361210823e-05;31;44;#004488
Tri fusion;12;1.0800024028867483e-05;31;44;#004488
Tri fusion;12;1.0600022505968809e-05;30;44;#004488
Tri fusion;12;1.4699995517730713e-05;28;44;#004488
Tri fusion;12;2.880001557059586e-05;29;44;#004488
Tri fusion;12;1.209997572004795e-05;30;44;#004488
Tri fusion;13;1.9600032828748226e-05;37;49;#004488
Tri fusion;13;1.1700030881911516e-05;36;49;#004488
Tri fusion;13;1.1500029359012842e-05;33;49;#004488
Tri fusion;13;1.610000617802143e-05;32;49;#004488
Tri fusion;13;2.889998722821474e-05;34;49;#004488
Tri fusion;13;1.1800002539530396e-05;33;49;#004488
Tri fusion;14;2.2499996703118086e-05;40;54;#004488
Tri fusion;14;1.2399978004395962e-05;37;54;#004488
Tri fusion;14;1.2699980288743973e-05;38;54;#004488
Tri fusion;14;1.3699987903237343e-05;39;54;#004488
Tri fusion;14;2.5899993488565087e-05;39;54;#004488
Tri fusion;14;1.2399978004395962e-05;39;54;#004488
Tri fusion;15;4.340003943070769e-05;44;59;#004488
Tri fusion;15;1.379998866468668e-05;41;59;#004488
Tri fusion;15;1.3699987903237343e-05;40;59;#004488
Tri fusion;15;1.4199991710484028e-05;41;59;#004488
Tri fusion;15;1.869996776804328e-05;41;59;#004488
Tri fusion;15;2.850001328624785e-05;42;59;#004488
Tri fusion;15;1.379998866468668e-05;44;59;#004488
Tri fusion;16;2.5399960577487946e-05;43;64;#004488
Tri fusion;16;1.4899997040629387e-05;45;64;#004488
Tri fusion;16;1.4499993994832039e-05;48;64;#004488
