nom;taille;temps;comparaison;echange;couleur
Tri pair impair;10;1.4599994756281376e-05;45;20;#EE99AA
Tri pair impair;10;1.6199948731809855e-05;54;35;#EE99AA
Tri pair impair;10;1.5600002370774746e-05;45;17;#EE99AA
Tri pair impair;11;8.300004992634058e-06;60;35;#EE99AA
Tri pair impair;11;6.699992809444666e-06;50;24;#EE99AA
Tri pair impair;11;6.999995093792677e-06;50;28;#EE99AA
Tri pair impair;12;7.700000423938036e-06;66;33;#EE99AA
Tri pair impair;12;7.100054062902927e-06;66;23;#EE99AA
Tri pair impair;12;8.100003469735384e-06;66;38;#EE99AA
Tri pair impair;13;9.100011084228754e-06;84;41;#EE99AA
Tri pair impair;13;7.90000194683671e-06;72;33;#EE99AA
Tri pair impair;13;7.700000423938036e-06;72;31;#EE99AA
Tri pair impair;14;7.800001185387373e-06;65;32;#EE99AA
Tri pair impair;14;1.1000025551766157e-05;104;46;#EE99AA
Tri pair impair;14;1.0200019460171461e-05;91;52;#EE99AA
Tri pair impair;15;1.109996810555458e-05;98;55;#EE99AA
Tri pair impair;15;9.499955922365189e-06;84;46;#EE99AA
Tri pair impair;15;1.279998105019331e-05;112;66;#EE99AA
Tri pair impair;16;1.3400043826550245e-05;135;52;#EE99AA
Tri pair impair;16;1.1700030881911516e-05;120;41;#EE99AA
Tri pair impair;16;1.2999982573091984e-05;135;51;#EE99AA
Tri pair impair;17;1.4499993994832039e-05;144;72;#EE99AA
Tri pair impair;17;1.5700003132224083e-05;144;85;#EE99AA
Tri pair impair;17;1.2700038496404886e-05;128;56;#EE99AA
Tri pair impair;18;1.5199999324977398e-05;136;81;#EE99AA
Tri pair impair;18;1.8600025214254856e-05;170;94;#EE99AA
Tri pair impair;18;1.3399985618889332e-05;136;58;#EE99AA
Tri pair impair;19;1.71000137925148e-05;162;81;#EE99AA
Tri pair impair;19;1.6700010746717453e-05;162;82;#EE99AA
Tri pair impair;19;1.999997766688466e-05;180;108;#EE99AA
Tri pair impair;20;1.9300030544400215e-05;190;87;#EE99AA
Tri pair impair;20;2.0199979189783335e-05;190;102;#EE99AA
Tri pair impair;20;2.169999061152339e-05;209;109;#EE99AA
Tri pair impair;21;1.910002902150154e-05;200;78;#EE99AA
Tri pair impair;21;1.8400023691356182e-05;180;97;#EE99AA
Tri pair impair;21;2.139998832717538e-05;220;98;#EE99AA
Tri pair impair;22;2.3800006601959467e-05;252;87;#EE99AA
Tri pair impair;22;1.98000343516469e-05;189;105;#EE99AA
Tri pair impair;22;2.0599982235580683e-05;210;97;#EE99AA
Tri pair impair;23;2.519995905458927e-05;242;131;#EE99AA
Tri pair impair;23;2.6899971999228e-05;242;154;#EE99AA
Tri pair impair;23;2.5500019546598196e-05;242;135;#EE99AA
Tri pair impair;24;2.239999594166875e-05;230;100;#EE99AA
Tri pair impair;24;2.7200032491236925e-05;253;162;#EE99AA
Tri pair impair;24;2.759997732937336e-05;276;137;#EE99AA
Tri pair impair;25;2.9799994081258774e-05;312;121;#EE99AA
Tri pair impair;25;3.090000245720148e-05;288;175;#EE99AA
Tri pair impair;25;3.200001083314419e-05;312;163;#EE99AA
Tri pair impair;26;3.260001540184021e-05;300;183;#EE99AA
Tri pair impair;26;3.3400021493434906e-05;350;144;#EE99AA
Tri pair impair;26;3.379996633157134e-05;350;163;#EE99AA
Tri pair impair;27;3.2400013878941536e-05;338;146;#EE99AA
Tri pair impair;27;3.120000474154949e-05;286;170;#EE99AA
Tri pair impair;27;3.71999922208488e-05;364;215;#EE99AA
Tri pair impair;28;2.6799971237778664e-05;270;132;#EE99AA
Tri pair impair;28;3.9599952287971973e-05;378;202;#EE99AA
Tri pair impair;28;3.360002301633358e-05;351;165;#EE99AA
Tri pair impair;29;2.9799994081258774e-05;308;134;#EE99AA
Tri pair impair;29;4.4599990360438824e-05;420;215;#EE99AA
Tri pair impair;29;4.2599975131452084e-05;392;245;#EE99AA
Tri pair impair;30;3.739999374374747e-05;377;202;#EE99AA
Tri pair impair;30;4.6600005589425564e-05;435;240;#EE99AA
Tri pair impair;30;4.499999340623617e-05;435;254;#EE99AA
Tri pair impair;31;4.120002267882228e-05;420;210;#EE99AA
