nom;taille;temps;comparaison;echange;couleur
Tri par insertion;10;1.1500029359012842e-05;27;20;#997700
Tri par insertion;10;1.3399985618889332e-05;43;35;#997700
Tri par insertion;10;1.2199976481497288e-05;23;17;#997700
Tri par insertion;10;8.300004992634058e-06;23;15;#997700
Tri par insertion;10;1.0400020983070135e-05;30;23;#997700
Tri par insertion;10;1.3899989426136017e-05;41;37;#997700
Tri par insertion;10;1.799996243789792e-05;29;22;#997700
Tri par insertion;10;1.090002479031682e-05;42;35;#997700
Tri par insertion;10;1.0300020221620798e-05;30;23;#997700
Tri par insertion;11;6.499991286545992e-06;42;35;#997700
Tri par insertion;11;5.200039595365524e-06;32;24;#997700
Tri par insertion;11;6.00004568696022e-06;35;28;#997700
Tri par insertion;12;5.199981387704611e-06;44;33;#997700
Tri par insertion;12;3.900029696524143e-06;34;23;#997700
Tri par insertion;12;5.699985194951296e-06;47;38;#997700
Tri par insertion;13;5.89998671784997e-06;50;41;#997700
Tri par insertion;13;4.8999791033566e-06;44;33;#997700
Tri par insertion;13;4.900037311017513e-06;43;31;#997700
Tri par insertion;14;5.499983672052622e-06;43;32;#997700
Tri par insertion;14;6.099988240748644e-06;55;46;#997700
Tri par insertion;14;7.099995855242014e-06;63;52;#997700
Tri par insertion;15;7.499998901039362e-06;68;55;#997700
Tri par insertion;15;6.399990525096655e-06;59;46;#997700
Tri par insertion;15;8.599949069321156e-06;77;66;#997700
Tri par insertion;16;7.199996616691351e-06;66;52;#997700
Tri par insertion;16;5.799985956400633e-06;52;41;#997700
Tri par insertion;16;7.199996616691351e-06;65;51;#997700
Tri par insertion;17;9.300012607127428e-06;87;72;#997700
Tri par insertion;17;1.0400020983070135e-05;99;85;#997700
Tri par insertion;17;7.700000423938036e-06;70;56;#997700
Tri par insertion;18;1.009996049106121e-05;94;81;#997700
Tri par insertion;18;1.1599971912801266e-05;105;94;#997700
Tri par insertion;18;8.000002708286047e-06;74;58;#997700
Tri par insertion;19;1.0500021744519472e-05;96;81;#997700
Tri par insertion;19;1.0500021744519472e-05;99;82;#997700
Tri par insertion;19;1.3699987903237343e-05;124;108;#997700
Tri par insertion;20;1.1299969628453255e-05;106;87;#997700
Tri par insertion;20;1.2599979527294636e-05;118;102;#997700
Tri par insertion;20;1.379998866468668e-05;124;109;#997700
Tri par insertion;20;1.3699987903237343e-05;119;105;#997700
Tri par insertion;20;1.2400036212056875e-05;93;76;#997700
Tri par insertion;20;1.71000137925148e-05;109;93;#997700
