nom;taille;temps;comparaison;echange;couleur
Tri par seaux;10;2.069998299703002e-05;4;22;#2EC4B6
Tri par seaux;10;2.0599982235580683e-05;4;20;#2EC4B6
Tri par seaux;10;3.029999788850546e-05;7;27;#2EC4B6
Tri par seaux;10;1.9600032828748226e-05;5;24;#2EC4B6
Tri par seaux;10;1.8700025975704193e-05;2;20;#2EC4B6
Tri par seaux;10;1.4299992471933365e-05;4;23;#2EC4B6
Tri par seaux;10;2.6300025638192892e-05;4;22;#2EC4B6
Tri par seaux;10;2.8500042390078306e-05;3;22;#2EC4B6
Tri par seaux;10;2.600002335384488e-05;5;23;#2EC4B6
Tri par seaux;10;3.71999922208488e-05;5;23;#2EC4B6
Tri par seaux;10;2.829998265951872e-05;3;21;#2EC4B6
Tri par seaux;10;2.8499984182417393e-05;3;20;#2EC4B6
Tri par seaux;10;3.460003063082695e-05;3;21;#2EC4B6
Tri par seaux;10;2.1499989088624716e-05;5;22;#2EC4B6
Tri par seaux;10;2.0899984519928694e-05;3;20;#2EC4B6
Tri par seaux;10;1.969997538253665e-05;2;21;#2EC4B6
Tri par seaux;10;2.010003663599491e-05;2;21;#2EC4B6
Tri par seaux;10;2.0400038920342922e-05;3;20;#2EC4B6
Tri par seaux;10;1.9000028260052204e-05;3;21;#2EC4B6
Tri par seaux;10;2.1899992134422064e-05;5;23;#2EC4B6
Tri par seaux;10;2.759997732937336e-05;8;24;#2EC4B6
Tri par seaux;10;2.7499976567924023e-05;4;22;#2EC4B6
Tri par seaux;10;1.929999780259095e-05;2;22;#2EC4B6
Tri par seaux;10;2.1100000594742596e-05;7;25;#2EC4B6
Tri par seaux;10;2.8199981898069382e-05;2;21;#2EC4B6
Tri par seaux;10;2.9399991035461426e-05;4;22;#2EC4B6
Tri par seaux;10;2.5599991204217076e-05;5;22;#2EC4B6
Tri par seaux;10;2.61999957729131e-05;3;22;#2EC4B6
Tri par seaux;10;2.8099981136620045e-05;6;24;#2EC4B6
Tri par seaux;10;2.549999044276774e-05;4;21;#2EC4B6
Tri par seaux;10;2.6399997295811772e-05;4;22;#2EC4B6
Tri par seaux;10;2.4800014216452837e-05;3;21;#2EC4B6
Tri par seaux;10;3.2899988582357764e-05;3;22;#2EC4B6
Tri par seaux;10;3.270001616328955e-05;6;25;#2EC4B6
Tri par seaux;10;2.710000262595713e-05;4;22;#2EC4B6
Tri par seaux;10;2.7900008717551827e-05;3;20;#2EC4B6
Tri par seaux;10;2.340000355616212e-05;3;20;#2EC4B6
Tri par seaux;10;2.2199994418770075e-05;5;22;#2EC4B6
Tri par seaux;10;3.0199997127056122e-05;4;23;#2EC4B6
Tri par seaux;10;0.00011019999510608613;6;25;#2EC4B6
Tri par seaux;10;2.8699985705316067e-05;4;22;#2EC4B6
Tri par seaux;10;2.8199981898069382e-05;2;22;#2EC4B6
Tri par seaux;11;2.300000051036477e-05;5;25;#2EC4B6
Tri par seaux;11;1.5900004655122757e-05;5;25;#2EC4B6
Tri par seaux;11;1.8399994587525725e-05;6;25;#2EC4B6
Tri par seaux;11;2.0400009816512465e-05;3;23;#2EC4B6
Tri par seaux;12;1.750001683831215e-05;6;27;#2EC4B6
Tri par seaux;12;1.6699981642886996e-05;7;30;#2EC4B6
Tri par seaux;12;1.4899997040629387e-05;4;25;#2EC4B6
Tri par seaux;12;1.990000600926578e-05;6;26;#2EC4B6
Tri par seaux;13;1.5199999324977398e-05;3;26;#2EC4B6
Tri par seaux;13;1.8000020645558834e-05;6;29;#2EC4B6
Tri par seaux;13;1.2800010154023767e-05;6;31;#2EC4B6
Tri par seaux;13;1.6600009985268116e-05;5;28;#2EC4B6
Tri par seaux;13;9.700015652924776e-06;4;28;#2EC4B6
Tri par seaux;13;1.3900018529966474e-05;4;27;#2EC4B6
Tri par seaux;14;1.4699995517730713e-05;8;33;#2EC4B6
Tri par seaux;14;1.2399978004395962e-05;4;30;#2EC4B6
Tri par seaux;14;8.90000956133008e-06;4;30;#2EC4B6
Tri par seaux;14;1.4399993233382702e-05;6;31;#2EC4B6
Tri par seaux;15;1.7700018361210823e-05;5;33;#2EC4B6
Tri par seaux;15;1.6600009985268116e-05;5;32;#2EC4B6
Tri par seaux;15;1.2300006346777081e-05;8;34;#2EC4B6
Tri par seaux;15;1.2100004823878407e-05;6;33;#2EC4B6
Tri par seaux;15;1.5199999324977398e-05;8;34;#2EC4B6
Tri par seaux;16;1.7000013031065464e-05;6;35;#2EC4B6
Tri par seaux;16;1.6400008462369442e-05;4;32;#2EC4B6
Tri par seaux;16;1.6000005416572094e-05;7;35;#2EC4B6
Tri par seaux;16;1.8200022168457508e-05;9;35;#2EC4B6
Tri par seaux;16;9.99998883344233e-06;6;36;#2EC4B6
Tri par seaux;16;1.5700003132224083e-05;10;40;#2EC4B6
Tri par seaux;17;1.7699989257380366e-05;10;39;#2EC4B6
Tri par seaux;17;2.61999957729131e-05;7;34;#2EC4B6
Tri par seaux;17;1.0599993402138352e-05;10;39;#2EC4B6
Tri par seaux;17;1.6799982404336333e-05;6;38;#2EC4B6
Tri par seaux;18;1.8499995348975062e-05;9;41;#2EC4B6
Tri par seaux;18;1.2600008631125093e-05;10;43;#2EC4B6
Tri par seaux;18;1.2500007869675756e-05;11;45;#2EC4B6
Tri par seaux;18;1.780001912266016e-05;8;40;#2EC4B6
Tri par seaux;19;1.1599971912801266e-05;7;40;#2EC4B6
Tri par seaux;19;1.8899969290941954e-05;8;44;#2EC4B6
Tri par seaux;19;1.9099999917671084e-05;13;47;#2EC4B6
Tri par seaux;19;1.2300006346777081e-05;10;44;#2EC4B6
Tri par seaux;19;1.0799994925037026e-05;5;41;#2EC4B6
Tri par seaux;19;1.9500002963468432e-05;12;46;#2EC4B6
Tri par seaux;20;1.9099970813840628e-05;13;47;#2EC4B6
Tri par seaux;20;2.239999594166875e-05;19;55;#2EC4B6
Tri par seaux;20;3.659998765215278e-05;12;48;#2EC4B6
Tri par seaux;20;2.0300038158893585e-05;8;45;#2EC4B6
Tri par seaux;20;1.3599987141788006e-05;6;43;#2EC4B6
Tri par seaux;20;2.7500034775584936e-05;11;46;#2EC4B6
Tri par seaux;20;3.7299992982298136e-05;6;43;#2EC4B6
Tri par seaux;20;3.63999861292541e-05;9;44;#2EC4B6
Tri par seaux;20;3.5699980799108744e-05;4;42;#2EC4B6
Tri par seaux;20;3.1599949579685926e-05;10;44;#2EC4B6
Tri par seaux;20;3.100000321865082e-05;7;44;#2EC4B6
Tri par seaux;20;4.0199956856667995e-05;7;42;#2EC4B6
Tri par seaux;20;1.9799976143985987e-05;7;43;#2EC4B6
Tri par seaux;20;2.0299979951232672e-05;9;46;#2EC4B6
Tri par seaux;20;3.7299992982298136e-05;6;44;#2EC4B6
Tri par seaux;20;3.739999374374747e-05;7;41;#2EC4B6
Tri par seaux;20;1.9499999325489625e-05;9;48;#2EC4B6
Tri par seaux;20;3.460000152699649e-05;12;46;#2EC4B6
Tri par seaux;20;3.0499999411404133e-05;5;42;#2EC4B6
Tri par seaux;20;2.6399997295811772e-05;10;46;#2EC4B6
Tri par seaux;20;3.5500008380040526e-05;9;44;#2EC4B6
Tri par seaux;20;6.210000719875097e-05;14;48;#2EC4B6
Tri par seaux;20;2.6900001103058457e-05;12;49;#2EC4B6
Tri par seaux;20;2.5299988919869065e-05;8;44;#2EC4B6
Tri par seaux;20;7.169999298639596e-05;6;44;#2EC4B6
Tri par seaux;20;3.919997834600508e-05;5;41;#2EC4B6
Tri par seaux;20;3.739999374374747e-05;12;48;#2EC4B6
Tri par seaux;20;0.00015889998758211732;12;48;#2EC4B6
Tri par seaux;20;3.540000761859119e-05;12;49;#2EC4B6
Tri par seaux;20;3.670001751743257e-05;6;43;#2EC4B6
Tri par seaux;20;1.8799997633323073e-05;6;43;#2EC4B6
Tri par seaux;20;1.990000600926578e-05;8;44;#2EC4B6
Tri par seaux;20;1.2299977242946625e-05;10;45;#2EC4B6
Tri par seaux;20;1.2300006346777081e-05;7;47;#2EC4B6
Tri par seaux;20;1.9099999917671084e-05;10;46;#2EC4B6
Tri par seaux;21;2.0299979951232672e-05;8;45;#2EC4B6
Tri par seaux;21;1.37000170070678e-05;10;49;#2EC4B6
Tri par seaux;21;1.3699987903237343e-05;4;45;#2EC4B6
Tri par seaux;21;1.990000600926578e-05;13;50;#2EC4B6
Tri par seaux;22;1.3100041542202234e-05;10;50;#2EC4B6
Tri par seaux;22;2.600002335384488e-05;9;48;#2EC4B6
Tri par seaux;22;2.1599989850074053e-05;13;53;#2EC4B6
Tri par seaux;22;1.2500007869675756e-05;8;48;#2EC4B6
Tri par seaux;22;1.2300006346777081e-05;8;47;#2EC4B6
Tri par seaux;22;1.9500002963468432e-05;7;48;#2EC4B6
Tri par seaux;23;2.160001895390451e-05;9;51;#2EC4B6
Tri par seaux;23;1.3100012438371778e-05;15;52;#2EC4B6
Tri par seaux;23;1.5400000847876072e-05;9;51;#2EC4B6
Tri par seaux;23;2.13000166695565e-05;12;52;#2EC4B6
Tri par seaux;24;2.300000051036477e-05;10;54;#2EC4B6
Tri par seaux;24;1.2999982573091984e-05;12;52;#2EC4B6
Tri par seaux;24;1.3999990187585354e-05;11;54;#2EC4B6
Tri par seaux;24;2.1500018192455173e-05;10;51;#2EC4B6
Tri par seaux;25;2.2199994418770075e-05;11;55;#2EC4B6
Tri par seaux;25;1.6200006939470768e-05;16;59;#2EC4B6
Tri par seaux;25;1.4099990949034691e-05;11;55;#2EC4B6
Tri par seaux;25;2.4199980543926358e-05;13;61;#2EC4B6
Tri par seaux;25;1.3699987903237343e-05;12;55;#2EC4B6
Tri par seaux;25;1.550000160932541e-05;21;66;#2EC4B6
Tri par seaux;25;2.2599997464567423e-05;13;55;#2EC4B6
Tri par seaux;26;2.479998511262238e-05;14;61;#2EC4B6
Tri par seaux;26;1.379998866468668e-05;14;59;#2EC4B6
Tri par seaux;26;1.5600002370774746e-05;9;55;#2EC4B6
Tri par seaux;26;2.3300002794712782e-05;10;58;#2EC4B6
Tri par seaux;27;2.4800014216452837e-05;11;62;#2EC4B6
Tri par seaux;27;1.5300000086426735e-05;15;62;#2EC4B6
Tri par seaux;27;1.5600002370774746e-05;12;61;#2EC4B6
Tri par seaux;27;2.4299981305375695e-05;13;59;#2EC4B6
Tri par seaux;28;1.5199999324977398e-05;9;59;#2EC4B6
Tri par seaux;28;1.5600002370774746e-05;14;63;#2EC4B6
Tri par seaux;28;2.609999501146376e-05;14;66;#2EC4B6
Tri par seaux;28;1.4699995517730713e-05;14;60;#2EC4B6
Tri par seaux;28;1.7499987734481692e-05;12;64;#2EC4B6
Tri par seaux;28;2.4599983589723706e-05;10;60;#2EC4B6
Tri par seaux;29;2.8199981898069382e-05;19;73;#2EC4B6
Tri par seaux;29;1.4599994756281376e-05;10;60;#2EC4B6
Tri par seaux;29;1.5199999324977398e-05;12;62;#2EC4B6
Tri par seaux;29;2.7000001864507794e-05;14;64;#2EC4B6
Tri par seaux;30;2.4500011932104826e-05;8;65;#2EC4B6
Tri par seaux;30;2.47000134550035e-05;18;69;#2EC4B6
Tri par seaux;30;2.5100016500800848e-05;15;69;#2EC4B6
Tri par seaux;30;2.440001117065549e-05;14;68;#2EC4B6
Tri par seaux;30;1.699995482340455e-05;13;69;#2EC4B6
Tri par seaux;30;2.5099958293139935e-05;15;69;#2EC4B6
Tri par seaux;30;3.270001616328955e-05;13;65;#2EC4B6
Tri par seaux;30;3.44999716617167e-05;14;67;#2EC4B6
Tri par seaux;30;3.9700011257082224e-05;11;64;#2EC4B6
Tri par seaux;30;2.370000584051013e-05;10;66;#2EC4B6
Tri par seaux;30;3.430002834647894e-05;14;69;#2EC4B6
Tri par seaux;30;4.7900015488266945e-05;12;65;#2EC4B6
Tri par seaux;30;2.6499968953430653e-05;14;68;#2EC4B6
