nom;taille;temps;comparaison;echange;couleur
Tri par selection;10;1.2299977242946625e-05;54;8;#994455
Tri par selection;10;1.2299977242946625e-05;54;7;#994455
Tri par selection;10;1.3199984095990658e-05;54;7;#994455
Tri par selection;10;1.0400020983070135e-05;54;8;#994455
Tri par selection;10;1.0100018698722124e-05;54;4;#994455
Tri par selection;10;1.1000025551766157e-05;54;8;#994455
Tri par selection;10;1.0500021744519472e-05;54;9;#994455
Tri par selection;10;1.160003012046218e-05;54;7;#994455
Tri par selection;10;1.4399993233382702e-05;54;7;#994455
Tri par selection;10;1.4199991710484028e-05;54;8;#994455
Tri par selection;10;1.8600025214254856e-05;54;7;#994455
Tri par selection;10;1.109996810555458e-05;54;7;#994455
Tri par selection;10;1.1199968867003918e-05;54;7;#994455
Tri par selection;10;1.869996776804328e-05;54;9;#994455
Tri par selection;11;6.700051017105579e-06;65;7;#994455
Tri par selection;11;6.299989763647318e-06;65;8;#994455
Tri par selection;11;6.599992047995329e-06;65;10;#994455
Tri par selection;12;6.199989002197981e-06;77;7;#994455
Tri par selection;12;5.599984433501959e-06;77;5;#994455
Tri par selection;12;6.499991286545992e-06;77;10;#994455
Tri par selection;13;7.099995855242014e-06;90;10;#994455
Tri par selection;13;6.399990525096655e-06;90;11;#994455
Tri par selection;13;6.89999433234334e-06;90;11;#994455
Tri par selection;14;8.000002708286047e-06;104;10;#994455
Tri par selection;14;7.199996616691351e-06;104;10;#994455
Tri par selection;14;7.599999662488699e-06;104;12;#994455
Tri par selection;15;8.400005754083395e-06;119;11;#994455
Tri par selection;15;8.300004992634058e-06;119;14;#994455
Tri par selection;15;8.600007276982069e-06;119;12;#994455
Tri par selection;16;9.200011845678091e-06;135;14;#994455
Tri par selection;16;9.100011084228754e-06;135;15;#994455
Tri par selection;16;9.199953638017178e-06;135;11;#994455
Tri par selection;17;1.0600022505968809e-05;152;14;#994455
Tri par selection;17;9.7999582067132e-06;152;13;#994455
Tri par selection;17;1.0300020221620798e-05;152;14;#994455
Tri par selection;18;1.1899974197149277e-05;170;17;#994455
Tri par selection;18;1.1400028597563505e-05;170;14;#994455
Tri par selection;18;1.1699972674250603e-05;170;14;#994455
Tri par selection;19;1.3400043826550245e-05;189;17;#994455
Tri par selection;19;1.2299977242946625e-05;189;14;#994455
Tri par selection;19;1.3399985618889332e-05;189;16;#994455
Tri par selection;20;1.3800046872347593e-05;209;15;#994455
Tri par selection;20;1.3299984857439995e-05;209;18;#994455
Tri par selection;20;1.4000048395246267e-05;209;17;#994455
Tri par selection;20;1.4499993994832039e-05;209;17;#994455
Tri par selection;20;1.4399993233382702e-05;209;17;#994455
Tri par selection;20;1.4499993994832039e-05;209;17;#994455
Tri par selection;20;1.479999627918005e-05;209;16;#994455
Tri par selection;20;1.5099998563528061e-05;209;16;#994455
Tri par selection;20;1.9499973859637976e-05;209;15;#994455
Tri par selection;20;3.1400006264448166e-05;209;15;#994455
Tri par selection;20;1.5599944163113832e-05;209;17;#994455
Tri par selection;20;3.99000127799809e-05;209;15;#994455
Tri par selection;21;1.4999997802078724e-05;230;20;#994455
Tri par selection;21;1.3999990187585354e-05;230;15;#994455
Tri par selection;21;1.5099998563528061e-05;230;18;#994455
Tri par selection;22;1.6099947970360518e-05;252;19;#994455
Tri par selection;22;1.550000160932541e-05;252;19;#994455
Tri par selection;22;1.6200006939470768e-05;252;17;#994455
Tri par selection;23;1.810002140700817e-05;275;19;#994455
Tri par selection;23;1.7700018361210823e-05;275;20;#994455
Tri par selection;23;1.8400023691356182e-05;275;19;#994455
Tri par selection;24;1.92999723367393e-05;299;18;#994455
Tri par selection;24;1.8499966245144606e-05;299;18;#994455
Tri par selection;24;1.9599974621087313e-05;299;21;#994455
Tri par selection;25;2.1199986804276705e-05;324;23;#994455
Tri par selection;25;1.9899976905435324e-05;324;21;#994455
Tri par selection;25;2.1199986804276705e-05;324;21;#994455
Tri par selection;26;2.2599997464567423e-05;350;21;#994455
Tri par selection;26;2.1400046534836292e-05;350;24;#994455
Tri par selection;26;2.269999822601676e-05;350;21;#994455
Tri par selection;27;2.3900007363408804e-05;377;20;#994455
Tri par selection;27;2.300000051036477e-05;377;24;#994455
Tri par selection;27;2.5200017262250185e-05;377;25;#994455
Tri par selection;28;2.5100016500800848e-05;405;22;#994455
Tri par selection;28;3.490003291517496e-05;405;24;#994455
Tri par selection;28;2.6499968953430653e-05;405;25;#994455
Tri par selection;29;2.700003096833825e-05;434;24;#994455
Tri par selection;29;2.700003096833825e-05;434;27;#994455
Tri par selection;29;2.859998494386673e-05;434;25;#994455
Tri par selection;30;2.95999925583601e-05;464;26;#994455
