nom;taille;temps;comparaison;echange;couleur
Tri par tas;1;4.399975296109915e-06;0;0;#FDE725
Tri par tas;10;2.0299979951232672e-05;99;28;#FDE725
Tri par tas;10;2.0200037397444248e-05;90;25;#FDE725
Tri par tas;10;3.890000516548753e-05;96;27;#FDE725
Tri par tas;10;2.5300018023699522e-05;90;25;#FDE725
Tri par tas;10;2.2299995180219412e-05;84;23;#FDE725
Tri par tas;10;1.8499966245144606e-05;102;29;#FDE725
Tri par tas;10;2.7800037059932947e-05;99;28;#FDE725
Tri par tas;10;3.260001540184021e-05;84;23;#FDE725
Tri par tas;10;1.4000048395246267e-05;99;28;#FDE725
Tri par tas;10;2.7399975806474686e-05;102;29;#FDE725
Tri par tas;10;3.1100003980100155e-05;87;24;#FDE725
Tri par tas;10;1.9400031305849552e-05;99;28;#FDE725
Tri par tas;10;3.090000245720148e-05;84;23;#FDE725
Tri par tas;10;2.0199979189783335e-05;96;27;#FDE725
Tri par tas;10;1.92999723367393e-05;96;27;#FDE725
Tri par tas;10;3.4299970138818026e-05;99;28;#FDE725
Tri par tas;10;2.7699978090822697e-05;93;26;#FDE725
Tri par tas;10;2.269999822601676e-05;102;29;#FDE725
Tri par tas;10;2.4100008886307478e-05;99;28;#FDE725
Tri par tas;10;5.230004899203777e-05;87;24;#FDE725
Tri par tas;10;1.939997309818864e-05;90;25;#FDE725
Tri par tas;10;3.609998384490609e-05;102;29;#FDE725
Tri par tas;10;2.5300018023699522e-05;93;26;#FDE725
Tri par tas;10;1.930000144056976e-05;102;29;#FDE725
Tri par tas;10;2.440001117065549e-05;96;27;#FDE725
Tri par tas;10;2.3800006601959467e-05;96;27;#FDE725
Tri par tas;10;2.609999501146376e-05;102;29;#FDE725
Tri par tas;10;2.5899993488565087e-05;96;27;#FDE725
Tri par tas;10;2.549999044276774e-05;96;27;#FDE725
Tri par tas;10;2.5200017262250185e-05;105;30;#FDE725
Tri par tas;10;3.329999162815511e-05;90;25;#FDE725
Tri par tas;10;2.4699984351173043e-05;93;26;#FDE725
Tri par tas;10;2.640002639964223e-05;102;29;#FDE725
Tri par tas;10;2.2899999748915434e-05;87;24;#FDE725
Tri par tas;10;2.2899999748915434e-05;93;26;#FDE725
Tri par tas;10;3.3899996196851134e-05;93;26;#FDE725
Tri par tas;10;2.8499984182417393e-05;96;27;#FDE725
Tri par tas;10;2.3100001271814108e-05;93;26;#FDE725
Tri par tas;10;2.2499996703118086e-05;90;25;#FDE725
Tri par tas;10;2.9999995604157448e-05;90;25;#FDE725
Tri par tas;10;1.8699996871873736e-05;99;28;#FDE725
Tri par tas;10;2.859998494386673e-05;93;26;#FDE725
Tri par tas;10;1.2399999988588206e-05;99;28;#FDE725
Tri par tas;10;2.9400005587376654e-05;96;27;#FDE725
Tri par tas;10;1.8999999156221747e-05;96;27;#FDE725
Tri par tas;10;1.68999977177009e-05;81;22;#FDE725
Tri par tas;10;1.8200000340584666e-05;93;26;#FDE725
Tri par tas;10;1.8699996871873736e-05;87;24;#FDE725
Tri par tas;10;1.960000372491777e-05;102;29;#FDE725
Tri par tas;10;1.939999492606148e-05;99;28;#FDE725
Tri par tas;10;1.930000144056976e-05;96;27;#FDE725
Tri par tas;10;1.7899998056236655e-05;90;25;#FDE725
Tri par tas;10;1.8799997633323073e-05;99;28;#FDE725
