nom;taille;temps;comparaison;echange;couleur
Tri rapide;10;2.269999822601676e-05;21;17;#5EC962
Tri rapide;10;2.2099993657320738e-05;26;19;#5EC962
Tri rapide;10;2.8100039344280958e-05;27;26;#5EC962
Tri rapide;10;1.179997343569994e-05;20;16;#5EC962
Tri rapide;10;1.4999997802078724e-05;27;14;#5EC962
Tri rapide;10;1.3199984095990658e-05;24;20;#5EC962
Tri rapide;10;1.2499978765845299e-05;23;11;#5EC962
Tri rapide;10;1.3499986380338669e-05;25;26;#5EC962
Tri rapide;10;1.2499978765845299e-05;22;18;#5EC962
Tri rapide;10;1.2800039257854223e-05;25;26;#5EC962
Tri rapide;10;1.2200034689158201e-05;20;15;#5EC962
Tri rapide;10;1.279998105019331e-05;25;17;#5EC962
Tri rapide;10;1.2699980288743973e-05;21;18;#5EC962
Tri rapide;10;2.2599997464567423e-05;20;13;#5EC962
Tri rapide;10;1.7499958630651236e-05;23;20;#5EC962
Tri rapide;10;2.1899992134422064e-05;31;20;#5EC962
Tri rapide;10;2.370000584051013e-05;23;18;#5EC962
Tri rapide;10;2.2499996703118086e-05;24;18;#5EC962
Tri rapide;10;2.540001878514886e-05;29;15;#5EC962
Tri rapide;10;2.47000134550035e-05;35;26;#5EC962
Tri rapide;10;1.3599987141788006e-05;30;21;#5EC962
Tri rapide;10;2.1499989088624716e-05;27;18;#5EC962
Tri rapide;10;1.5900004655122757e-05;23;18;#5EC962
Tri rapide;10;1.3899989426136017e-05;25;17;#5EC962
Tri rapide;10;1.3599987141788006e-05;26;22;#5EC962
Tri rapide;10;1.3199984095990658e-05;21;17;#5EC962
Tri rapide;10;1.309998333454132e-05;28;30;#5EC962
Tri rapide;10;2.3300002794712782e-05;24;16;#5EC962
Tri rapide;10;2.4800014216452837e-05;21;15;#5EC962
Tri rapide;10;1.4599994756281376e-05;21;18;#5EC962
Tri rapide;10;1.5400000847876072e-05;22;12;#5EC962
Tri rapide;10;2.5499961338937283e-05;21;18;#5EC962
Tri rapide;10;2.1199986804276705e-05;21;18;#5EC962
Tri rapide;10;1.4500052202492952e-05;23;24;#5EC962
Tri rapide;10;2.400000812485814e-05;27;24;#5EC962
Tri rapide;10;2.2799998987466097e-05;31;16;#5EC962
Tri rapide;10;1.3699998817173764e-05;23;17;#5EC962
Tri rapide;10;1.6099998902063817e-05;29;16;#5EC962
Tri rapide;11;1.0100018698722124e-05;26;20;#5EC962
Tri rapide;11;9.499955922365189e-06;30;17;#5EC962
